"","state","Lat","Lon","Total","BNT","BNI","TBT","BBI","TBI","TBIR","year_start","year_end"
"120","ME",44.64,-68.75,73,0.082191781,0.287671233,0.301369863,0.082191781,0,0.082191781,1662,1835
"121","ME",44.63,-68.9,232,0.232758621,0.064655173,0.508620689,0.012931034,0,0.030172414,1662,1835
"122","ME",44.62,-67.85,48,0.270833334,0.145833334,0.354166666,0.083333333,0,0,1662,1835
"123","ME",44.61,-69.63,51,0.117647059,0.078431372,0.411764707,0,0.019607843,0.098039216,1662,1835
"124","ME",44.61,-69.05,85,0.105882353,0.023529412,0.6,0,0,0.011764706,1662,1835
"125","ME",44.61,-68.31,58,0.310344827,0.189655173,0.327586207,0.103448276,0,0,1662,1835
"126","ME",44.6,-69.2,114,0.157894737,0.01754386,0.622807017,0,0,0,1662,1835
"127","ME",44.57,-68.69,156,0.230769231,0.128205128,0.442307691,0.012820513,0,0.025641026,1662,1835
"128","ME",44.56,-68.49,278,0.212230216,0.06115108,0.54676259,0,0,0.003597122,1662,1835
"129","ME",44.54214,-70.622741,887,0.103720406,0.049605411,0.636978579,0.022547914,0.002254791,0.040586246,1662,1835
"130","ME",44.53,-68.16,172,0.575581395,0.180232558,0.116279069,0.011627907,0,0.034883721,1662,1835
"131","ME",44.52,-68.89,314,0.331210191,0.057324841,0.49044586,0.015923567,0,0.003184713,1662,1835
"132","ME",44.518,-69.215,76,0.118421052,0.078947369,0.526315789,0,0,0,1662,1835
"133","ME",44.5,-68.54,100,0.44,0.15,0.29,0.01,0,0.07,1662,1835
"134","ME",44.49,-69.06,144,0.180555556,0.041666666,0.618055555,0,0,0.006944444,1662,1835
"135","NH",44.473,-71.56,63,0.349206349,0.031746032,0.555555556,0,0.015873016,0,1673,1850
"136","ME",44.46,-68.75,93,0.322580645,0.139784946,0.301075269,0.032258065,0,0.096774194,1662,1835
"137","ME",44.44,-69.04,289,0.387543252,0.02768166,0.42214533,0.003460208,0,0.044982699,1662,1835
"138","ME",44.44,-69.28,235,0.153191489,0.034042553,0.595744681,0.004255319,0.004255319,0.008510638,1662,1835
"139","ME",44.43,-69.67,72,0.055555556,0.083333333,0.486111111,0,0.013888889,0.236111111,1662,1835
"140","ME",44.42,-70.19,201,0.074626866,0.039800995,0.502487563,0.024875622,0,0.044776119,1662,1835
"141","ME",44.42,-68.54,86,0.430232558,0.209302326,0.220930233,0.011627907,0,0.093023256,1662,1835
